DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-10-23 17,4.03,NaN,2.97,8.02,2.87,NaN,9.65 
2024-10-23 18,3.94,NaN,2.94,8.04,2.88,NaN,9.02 
2024-10-23 19,3.86,NaN,2.91,8.05,2.89,NaN,8.37 
2024-10-23 20,3.77,NaN,2.88,8.04,2.90,NaN,7.70 
2024-10-23 21,3.70,NaN,2.85,8.05,2.92,NaN,7.02 
2024-10-23 22,3.64,NaN,2.82,8.04,2.93,NaN,6.36 
2024-10-23 23,3.58,NaN,2.79,8.04,2.96,NaN,5.75 
2024-10-24 00,3.66,NaN,2.60,8.03,2.97,NaN,5.18 
2024-10-24 01,3.99,NaN,2.73,8.02,2.97,NaN,4.65 
2024-10-24 02,4.16,NaN,2.70,8.01,2.99,NaN,4.18 
2024-10-24 03,4.03,NaN,2.67,7.98,2.98,NaN,3.77 
2024-10-24 04,3.86,NaN,2.64,7.97,2.99,NaN,3.42 
2024-10-24 05,3.77,NaN,2.62,7.95,2.98,NaN,3.12 
2024-10-24 06,3.77,NaN,2.59,7.94,2.98,NaN,2.88 
2024-10-24 07,3.77,NaN,2.57,7.91,2.97,NaN,2.66 
2024-10-24 08,3.94,NaN,2.55,7.89,2.96,NaN,2.49 
2024-10-24 09,3.99,NaN,2.53,7.87,2.96,NaN,2.33 
2024-10-24 10,3.94,NaN,2.51,7.85,2.96,NaN,2.20 
2024-10-24 11,3.97,NaN,2.50,7.83,2.95,NaN,2.07 
2024-10-24 12,3.95,NaN,2.47,7.81,2.94,NaN,1.97 
2024-10-24 13,3.89,NaN,2.45,7.79,2.95,NaN,1.87 
2024-10-24 14,3.72,NaN,2.43,7.76,2.94,NaN,1.79 
2024-10-24 15,3.60,NaN,2.41,7.74,2.92,NaN,1.72 
2024-10-24 16,3.46,NaN,2.38,7.72,2.92,NaN,1.65 
2024-10-24 17,3.36,NaN,2.36,7.69,2.90,NaN,1.58 
2024-10-24 18,3.31,NaN,2.33,7.67,2.88,NaN,1.53 
2024-10-24 19,3.24,NaN,2.30,7.65,2.87,NaN,1.50 
2024-10-24 20,3.17,NaN,2.28,7.63,2.85,NaN,1.47 
2024-10-24 21,3.12,NaN,2.26,7.60,2.84,NaN,1.46 
2024-10-24 22,3.07,NaN,2.23,7.58,2.83,NaN,1.46 
2024-10-24 23,3.01,NaN,2.21,7.55,2.82,NaN,1.47 
2024-10-25 00,2.94,NaN,2.18,7.53,2.80,NaN,1.48 
2024-10-25 01,2.88,NaN,2.16,7.51,2.79,NaN,1.52 
2024-10-25 02,2.83,NaN,2.13,7.49,2.78,NaN,1.56 
2024-10-25 03,2.80,NaN,2.11,7.46,2.76,NaN,1.57 
2024-10-25 04,2.77,NaN,2.08,7.44,2.75,NaN,1.54 
